Project Code,Country,Managed By,Fulfill Via,Shipment Mode,Scheduled Delivery Date,Delivered to Client Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Line Item Quantity,Line Item Value,Pack Price,Unit Price,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
100-CI-T01,Côte d'Ivoire,PMO - US,Direct Drop,Air,2-Jun-06,2-Jun-06,HRDT,HIV test,RANBAXY Fine Chemicals LTD.,"HIV, Reveal G3 Rapid HIV-1 Antibody Test, 30 Tests","HIV, Reveal G3 Rapid HIV-1 Antibody Test",Reveal,19,551.0,29.0,0.97,13.0,780.34,47.04
108-VN-T01,Vietnam,PMO - US,Direct Drop,Air,14-Nov-06,14-Nov-06,ARV,Pediatric,Aurobindo Pharma Limited,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Nevirapine,Generic,1000,6200.0,6.2,0.03,358.0,4521.5,47.04
100-CI-T01,Côte d'Ivoire,PMO - US,Direct Drop,Air,27-Aug-06,27-Aug-06,HRDT,HIV test,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,500,40000.0,80.0,0.8,171.0,1653.78,47.04
108-VN-T01,Vietnam,PMO - US,Direct Drop,Air,1-Sep-06,1-Sep-06,ARV,Adult,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,31920,127360.8,3.99,0.07,1855.0,16007.06,47.04
112-NG-T01,Nigeria,PMO - US,Direct Drop,Air,28-Sep-06,28-Sep-06,ARV,Pediatric,Aurobindo Pharma Limited,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",Zidovudine,Generic,416,2225.6,5.35,0.02,504.0,5920.42,47.04
110-ZM-T01,Zambia,PMO - US,Direct Drop,Air,8-Jan-07,8-Jan-07,ARV,Pediatric,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),"Efavirenz 200mg [Stocrin/Sustiva], capsule, 90 Caps",Efavirenz,Stocrin/Sustiva,135,4374.0,32.4,0.36,328.0,5869.655000000001,47.04
109-TZ-T01,Tanzania,PMO - US,Direct Drop,Air,24-Nov-06,24-Nov-06,ARV,Adult,Aurobindo Pharma Limited,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,16667,60834.55,3.65,0.06,1478.0,6212.41,47.04
112-NG-T01,Nigeria,PMO - US,Direct Drop,Air,7-Dec-06,7-Dec-06,ARV,Adult,Aurobindo Pharma Limited,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,273,532.35,1.95,0.03,1047.0,5869.655000000001,47.04
110-ZM-T01,Zambia,PMO - US,Direct Drop,Air,30-Jan-07,30-Jan-07,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,2800,115080.0,41.1,0.34,643.0,5869.655000000001,47.04
110-ZM-T01,Zambia,PMO - US,Direct Drop,Air,16-Feb-07,16-Feb-07,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,2800,115080.0,41.1,0.34,643.0,5869.655000000001,47.04
110-ZM-T01,Zambia,PMO - US,Direct Drop,Air,8-Jan-07,8-Jan-07,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,2500,100000.0,40.0,2.0,853.0,13569.49,47.04
